"ch_version","name","value","changed","description","min","max","readonly","type"
"21.11.4.14","min_compress_block_size","65536",0,"The actual size of the block to compress, if the uncompressed data less than max_compress_block_size is no less than this value and no less than the volume of data for one mark.",\N,\N,0,"UInt64"
"21.11.4.14","max_compress_block_size","1048576",0,"The maximum size of blocks of uncompressed data before compressing for writing to a table.",\N,\N,0,"UInt64"
"21.11.4.14","max_block_size","65505",0,"Maximum block size for reading",\N,\N,0,"UInt64"
"21.11.4.14","max_insert_block_size","1048545",0,"The maximum block size for insertion, if we control the creation of blocks for insertion.",\N,\N,0,"UInt64"
"21.11.4.14","min_insert_block_size_rows","1048545",0,"Squash blocks passed to INSERT query to specified size in rows, if blocks are not big enough.",\N,\N,0,"UInt64"
"21.11.4.14","min_insert_block_size_bytes","268427520",0,"Squash blocks passed to INSERT query to specified size in bytes, if blocks are not big enough.",\N,\N,0,"UInt64"
"21.11.4.14","min_insert_block_size_rows_for_materialized_views","0",0,"Like min_insert_block_size_rows, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_rows)",\N,\N,0,"UInt64"
"21.11.4.14","min_insert_block_size_bytes_for_materialized_views","0",0,"Like min_insert_block_size_bytes, but applied only during pushing to MATERIALIZED VIEW (default: min_insert_block_size_bytes)",\N,\N,0,"UInt64"
"21.11.4.14","max_joined_block_size_rows","65505",0,"Maximum block size for JOIN result (if join algorithm supports it). 0 means unlimited.",\N,\N,0,"UInt64"
"21.11.4.14","max_insert_threads","0",0,"The maximum number of threads to execute the INSERT SELECT query. Values 0 or 1 means that INSERT SELECT is not run in parallel. Higher values will lead to higher memory usage. Parallel INSERT SELECT has effect only if the SELECT part is run on parallel, see 'max_threads' setting.",\N,\N,0,"UInt64"
"21.11.4.14","max_final_threads","16",0,"The maximum number of threads to read from table with FINAL.",\N,\N,0,"UInt64"
"21.11.4.14","max_threads","'auto(4)'",0,"The maximum number of threads to execute the request. By default, it is determined automatically.",\N,\N,0,"MaxThreads"
"21.11.4.14","max_alter_threads","'auto(4)'",0,"The maximum number of threads to execute the ALTER requests. By default, it is determined automatically.",\N,\N,0,"MaxThreads"
"21.11.4.14","max_read_buffer_size","1048576",0,"The maximum size of the buffer to read from the filesystem.",\N,\N,0,"UInt64"
"21.11.4.14","max_distributed_connections","1024",0,"The maximum number of connections for distributed processing of one query (should be greater than max_threads).",\N,\N,0,"UInt64"
"21.11.4.14","max_query_size","262144",0,"Which part of the query can be read into RAM for parsing (the remaining data for INSERT, if any, is read later)",\N,\N,0,"UInt64"
"21.11.4.14","interactive_delay","100000",0,"The interval in microseconds to check if the request is cancelled, and to send progress info.",\N,\N,0,"UInt64"
"21.11.4.14","connect_timeout","10",0,"Connection timeout if there are no replicas.",\N,\N,0,"Seconds"
"21.11.4.14","connect_timeout_with_failover_ms","50",0,"Connection timeout for selecting first healthy replica.",\N,\N,0,"Milliseconds"
"21.11.4.14","connect_timeout_with_failover_secure_ms","100",0,"Connection timeout for selecting first healthy replica (for secure connections).",\N,\N,0,"Milliseconds"
"21.11.4.14","receive_timeout","300",0,"",\N,\N,0,"Seconds"
"21.11.4.14","send_timeout","300",0,"",\N,\N,0,"Seconds"
"21.11.4.14","drain_timeout","3",0,"",\N,\N,0,"Seconds"
"21.11.4.14","tcp_keep_alive_timeout","290",0,"The time in seconds the connection needs to remain idle before TCP starts sending keepalive probes",\N,\N,0,"Seconds"
"21.11.4.14","hedged_connection_timeout_ms","100",0,"Connection timeout for establishing connection with replica for Hedged requests",\N,\N,0,"Milliseconds"
"21.11.4.14","receive_data_timeout_ms","2000",0,"Connection timeout for receiving first packet of data or packet with positive progress from replica",\N,\N,0,"Milliseconds"
"21.11.4.14","use_hedged_requests","1",0,"Use hedged requests for distributed queries",\N,\N,0,"Bool"
"21.11.4.14","allow_changing_replica_until_first_data_packet","0",0,"Allow HedgedConnections to change replica until receiving first data packet",\N,\N,0,"Bool"
"21.11.4.14","queue_max_wait_ms","0",0,"The wait time in the request queue, if the number of concurrent requests exceeds the maximum.",\N,\N,0,"Milliseconds"
"21.11.4.14","connection_pool_max_wait_ms","0",0,"The wait time when the connection pool is full.",\N,\N,0,"Milliseconds"
"21.11.4.14","replace_running_query_max_wait_ms","5000",0,"The wait time for running query with the same query_id to finish when setting 'replace_running_query' is active.",\N,\N,0,"Milliseconds"
"21.11.4.14","kafka_max_wait_ms","5000",0,"The wait time for reading from Kafka before retry.",\N,\N,0,"Milliseconds"
"21.11.4.14","rabbitmq_max_wait_ms","5000",0,"The wait time for reading from RabbitMQ before retry.",\N,\N,0,"Milliseconds"
"21.11.4.14","poll_interval","10",0,"Block at the query wait loop on the server for the specified number of seconds.",\N,\N,0,"UInt64"
"21.11.4.14","idle_connection_timeout","3600",0,"Close idle TCP connections after specified number of seconds.",\N,\N,0,"UInt64"
"21.11.4.14","distributed_connections_pool_size","1024",0,"Maximum number of connections with one remote server in the pool.",\N,\N,0,"UInt64"
